team_home, team_away, score_home, score_away
Brewers,Cardinals,0,0
Blue Jays,Yankees,6,8
Diamondbacks,Nationals,1,2
Marlins,Rays,10,6
Orioles,Red Sox,2,4
Indians,Tigers,3,2
Pirates,Reds,2,7
Mets,Braves,16,5
Phillies,Cubs,4,5
Rangers,Astros,1,10
Athletics,Twins,4,7
White Sox,Royals,1,6
Angels,Mariners,7,8
Giants,Dodgers,4,1
Rockies,Padres,11,3
Blue Jays,Yankees,5,11
Diamondbacks,Nationals,6,3
Rays,Marlins,3,1
Orioles,Red Sox,2,5
Indians,Tigers,2,5
Pirates,Reds,12,3
Mets,Braves,7,9
Phillies,Cubs,3,8
Rangers,Astros,7,8
Athletics,Twins,1,9
White Sox,Royals,6,0
Brewers,Cardinals,1,2
Angels,Mariners,6,4
Giants,Dodgers,5,13
Rockies,Padres,2,6
Blue Jays,Yankees,7,1
Rays,Marlins,4,2
Orioles,Red Sox,5,2
Indians,Tigers,1,7
Pirates,Reds,3,4
Mets,Braves,7,5
Phillies,Cubs,10,2
Rangers,Astros,2,6
White Sox,Royals,1,6
Brewers,Cardinals,7,5
Giants,Dodgers,4,3
Orioles,Yankees,7,4
Rays,Blue Jays,1,3
Mariners,Indians,4,12
Pirates,Marlins,3,10
White Sox,Tigers,3,7
Mets,Nationals,5,23
Athletics,Astros,2,7
Braves,Brewers,3,4
Twins,Royals,7,5
Reds,Cardinals,5,4
Angels,Rangers,5,2
Padres,Giants,5,2
Phillies,Dodgers,3,5
Rockies,Diamondbacks,0,2
Cubs,Red Sox,2,6
Orioles,Yankees,11,14
Mets,Nationals,7,5
Rays,Blue Jays,7,4
Mariners,Indians,3,1
Pirates,Marlins,12,2
Cubs,Red Sox,4,5
White Sox,Tigers,7,3
Angels,Rangers,6,3
Athletics,Astros,4,9
Braves,Brewers,10,8
Twins,Royals,6,4
Reds,Cardinals,5,7
Rockies,Diamondbacks,3,1
Phillies,Dodgers,3,5
Padres,Giants,3,4
Marlins,Phillies,2,3
Mariners,Tigers,2,1
Braves,Mets,7,5
Blue Jays,Cardinals,4,8
Nationals,Rockies,16,5
Dodgers,Giants,5,1
Astros,Indians,3,4
Yankees,Red Sox,3,0
Blue Jays,Cardinals,4,6
Padres,Diamondbacks,2,6
Athletics,Angels,1,2
Blue Jays,Cardinals,0,0
Reds,Brewers,4,9
Royals,White Sox,2,5
Astros,Indians,6,7
Rays,Orioles,4,5
Marlins,Phillies,4,7
Cubs,Pirates,5,6
Yankees,Red Sox,3,1
Mariners,Tigers,8,0
Braves,Mets,8,2
Twins,Rangers,3,14
Nationals,Rockies,11,4
Padres,Diamondbacks,8,5
Athletics,Angels,5,8
Dodgers,Giants,3,4
Marlins,Phillies,0,0
Yankees,Red Sox,0,0
Braves,Mets,0,0
Astros,Indians,4,2
Rays,Orioles,2,0
Cubs,Pirates,1,0
Mariners,Tigers,9,19
Reds,Brewers,1,9
Twins,Rangers,8,1
Royals,White Sox,5,10
Blue Jays,Cardinals,6,5
Nationals,Rockies,15,12
Padres,Diamondbacks,3,9
Athletics,Angels,1,2
Dodgers,Giants,2,1
Rays,Orioles,3,6
Cubs,Pirates,14,3
Reds,Brewers,7,11
Twins,Rangers,3,2
Royals,White Sox,1,12
Nationals,Rockies,4,8
Padres,Diamondbacks,6,7
Blue Jays,Angels,1,2
Dodgers,Giants,1,2
