team_home, team_away, score_home, score_away
NYK,CLE,88,117
UTA,POR,104,113
SAS,GSW,129,100
MIA,ORL,108,96
DAL,IND,121,130
BKN,BOS,117,122
DET,TOR,91,109
CHA,MIL,107,96
MIN,MEM,98,102
DEN,NOP,107,102
OKC,PHI,103,97
SAC,PHX,113,94
HOU,LAL,114,120
WAS,ATL,99,114
BOS,CHI,99,105
SAS,SAC,102,94
LAC,POR,114,106
CLE,TOR,94,91
IND,BKN,94,103
ORL,DET,82,108
PHX,OKC,110,113
CHA,MIA,97,91
HOU,DAL,106,98
LAL,UTA,89,96
GSW,NOP,122,114
ATL,PHI,104,72
BOS,CHA,104,98
MEM,NYK,104,111
ORL,CLE,99,105
IND,CHI,101,118
BKN,MIL,108,110
NOP,SAS,79,98
POR,DEN,115,113
MIN,SAC,103,106
UTA,LAC,75,88
GSW,PHX,106,100
SAS,MIA,106,99
MIL,DET,83,98
LAL,OKC,96,113
WAS,MEM,103,112
DAL,HOU,92,93
DEN,TOR,102,105
CHI,BKN,118,88
SAC,ATL,95,106
PHX,LAC,98,116
HOU,CLE,120,128
ORL,PHI,103,101
LAL,IND,108,115
SAC,MIA,96,108
NYK,DET,89,102
MIL,NOP,117,113
MEM,MIN,80,116
UTA,SAS,106,91
GSW,POR,127,104
TOR,WAS,113,103
PHI,CHA,93,109
DET,BKN,101,109
HOU,NYK,118,99
LAL,ATL,123,116
NOP,MEM,83,89
CHI,BOS,100,107
DAL,UTA,81,97
POR,PHX,115,118
OKC,LAC,85,83
SAC,ORL,94,102
IND,MIL,107,125
DEN,MIN,102,99
BOS,CLE,122,128
OKC,GSW,96,122
ATL,WAS,92,95
MIA,TOR,87,96
CHA,BKN,99,95
NYK,CHI,117,104
LAC,MEM,99,88
PHX,NOP,112,111
POR,DAL,105,95
SAS,UTA,100,86
GSW,LAL,97,117
MIN,OKC,92,112
CLE,PHI,102,101
WAS,ORL,86,88
DEN,DET,86,103
CHI,IND,94,111
HOU,ATL,97,112
SAC,MIL,91,117
LAC,SAS,116,92
UTA,NYK,114,109
POR,MEM,100,94
SAC,TOR,96,91
MIL,DAL,75,86
DEN,BOS,123,107
PHX,LAL,108,119
UTA,PHI,109,84
HOU,WAS,114,106
IND,CHA,100,122
ORL,CHI,80,112
MIA,OKC,85,97
DET,LAC,82,114
NOP,GSW,106,116
ATL,CLE,110,106
MIN,BKN,110,119
DEN,MEM,107,108
PHX,POR,121,124
DAL,LAL,109,97
NOP,SAC,94,102
BKN,NYK,96,110
BOS,WAS,93,118
UTA,CHA,98,104
MIN,ORL,123,107
PHI,IND,115,122
CHI,ATL,107,115
TOR,OKC,112,102
DET,PHX,100,107
HOU,SAS,101,99
POR,LAC,80,111
DAL,GSW,95,116
NOP,MIL,112,106
CHI,MIA,98,95
GSW,DEN,125,101
LAL,SAC,101,91
IND,PHI,105,109
CLE,WAS,105,94
TOR,CHA,113,111
UTA,ORL,87,74
NYK,BOS,87,115
LAC,OKC,110,108
DET,SAS,86,96
SAC,POR,120,122
LAL,NOP,126,99
BOS,IND,105,99
NYK,TOR,107,118
PHI,ATL,96,117
WAS,CHI,95,106
SAS,HOU,106,100
LAC,MIN,119,105
UTA,MIA,102,91
MEM,MIL,96,106
DET,DEN,106,95
BKN,PHX,122,104
CHA,CLE,93,100
ORL,OKC,119,117
LAL,MIN,99,125
PHX,GSW,120,133
DEN,POR,105,112
ORL,IND,69,88
DAL,NYK,77,93
OKC,DET,88,104
BOS,NOP,105,106
PHI,HOU,88,115
MIA,SAS,90,94
MEM,UTA,102,96
BKN,LAC,95,127
TOR,CLE,117,121
ATL,MIA,93,90
CHA,MIN,115,108
CHI,POR,113,88
BKN,LAL,118,125
WAS,PHI,102,109
NOP,ORL,82,89
CLE,IND,93,103
DAL,BOS,83,90
DET,NYK,102,105
MIL,ATL,100,107
HOU,OKC,103,105
GSW,TOR,127,121
PHX,DEN,104,120
MEM,LAC,111,107
SAS,SAC,110,105
NYK,WAS,112,119
MIL,MIA,73,96
POR,HOU,109,126
PHI,MIN,86,110
CHI,UTA,85,77
ATL,CHA,96,100
PHX,IND,116,96
DET,CLE,81,104
POR,NOP,101,113
BKN,OKC,105,124
GSW,BOS,104,88
MEM,DAL,80,64
TOR,DEN,113,111
SAS,LAL,116,107
LAC,SAC,121,115
UTA,HOU,102,111
CHA,NOP,116,121
MIA,WAS,114,111
DAL,ORL,87,95
BOS,DET,94,92
PHX,PHI,105,120
MIN,MEM,71,93
GSW,MIL,124,121
CHI,LAC,95,102
ATL,NYK,94,104
POR,BKN,129,109
IND,OKC,115,111
TOR,SAC,99,102
UTA,DEN,91,105
CHI,LAL,118,110
MIA,PHI,94,101
PHX,WAS,101,106
MEM,CHA,105,90
GSW,IND,120,83
HOU,DET,99,96
ORL,MIL,89,93
BOS,MIN,99,93
DAL,SAS,91,96
TOR,LAC,115,123
POR,NYK,103,107
NOP,ATL,112,94
CHI,DEN,107,110
OKC,LAL,109,111
MEM,PHI,104,99
SAS,CHA,119,114
PHX,ORL,92,87
POR,CLE,125,137
ATL,IND,96,85
BOS,BKN,111,92
MIA,DET,84,107
TOR,HOU,115,102
LAC,DAL,124,104
DEN,UTA,83,108
MIN,NOP,96,117
LAL,GSW,106,149
OKC,SAC,101,116
SAS,BOS,109,103
WAS,ORL,94,91
DAL,CLE,90,128
CHA,NYK,111,113
CHI,PHI,105,89
LAC,DET,97,108
ATL,UTA,68,95
TOR,MIL,105,99
MIA,MEM,90,81
BKN,IND,97,118
OKC,DEN,132,129
MIN,PHX,98,85
NOP,POR,104,119
GSW,LAL,109,85
HOU,SAC,117,104
SAS,WAS,112,100
NYK,CHA,102,107
DET,OKC,88,106
MEM,MIA,110,107
MIN,GSW,102,115
CLE,PHI,112,108
DEN,PHX,120,114
SAC,BKN,122,105
MIL,ORL,104,96
LAC,IND,70,91
NOP,DAL,81,91
HOU,POR,130,114
ATL,LAL,94,109
SAC,WAS,95,101
PHI,TOR,95,122
OKC,NYK,112,103
BOS,MIA,112,104
CHA,MEM,104,85
UTA,MIN,112,103
ATL,GSW,100,105
DET,CHA,112,89
LAC,BKN,122,127
CLE,MIL,101,118
LAL,NOP,88,105
ORL,SAS,95,83
HOU,UTA,101,120
DET,BOS,121,114
MEM,TOR,105,120
LAL,CHI,96,90
WAS,OKC,115,126
NYK,MIN,106,104
SAS,DAL,94,87
MIA,DEN,106,98
ATL,PHX,107,109
IND,POR,109,131
DAL,CHA,87,97
MIL,BKN,111,93
ORL,MEM,94,95
LAC,CLE,113,94
MIA,UTA,111,110
HOU,GSW,132,127
ORL,PHI,105,88
SAC,BOS,92,97
LAL,TOR,80,113
MIN,NYK,114,118
CLE,CHI,105,111
LAC,NOP,114,96
DET,ATL,121,85
WAS,SAS,105,107
HOU,DEN,128,110
BKN,MIL,103,112
MIN,CHA,125,120
ATL,TOR,84,128
BOS,PHI,107,106
LAL,MEM,100,103
CHI,DAL,82,107
DEN,UTA,98,105
MIA,POR,92,99
PHX,GSW,109,138
ORL,DET,98,92
NOP,OKC,92,101
SAC,NYK,98,106
IND,LAC,111,102
DEN,PHI,106,98
CLE,TOR,116,112
WAS,BKN,118,113
OKC,ATL,102,99
POR,CHI,112,110
SAS,MIL,97,96
MEM,NOP,110,108
BOS,HOU,106,107
CHA,DAL,109,101
UTA,LAL,107,101
IND,GSW,106,142
ORL,WAS,124,116
NYK,MIA,114,103
CHI,DET,91,102
PHI,MEM,91,96
SAS,MIN,105,91
PHX,UTA,105,112
DET,CHA,77,87
BOS,ORL,117,87
DEN,BKN,111,116
MIA,ATL,95,103
POR,MIL,107,115
LAL,HOU,95,134
CLE,NYK,126,94
SAC,DAL,120,89
IND,PHX,109,94
GSW,LAC,115,98
MIN,TOR,110,124
DEN,WAS,85,92
POR,MEM,86,88
PHI,NOP,99,88
GSW,UTA,106,99
SAS,CHI,91,95
ORL,CHA,88,109
MIA,CLE,84,114
TOR,BOS,101,94
ATL,MIL,114,110
HOU,OKC,102,99
DET,MIN,117,90
IND,DAL,103,111
PHX,LAL,119,115
NYK,SAC,103,100
MIL,WAS,105,110
DEN,ORL,121,113
POR,IND,111,118
CHA,CLE,105,116
MIA,CHI,100,105
GSW,MEM,89,110
DAL,HOU,87,109
BKN,SAS,101,130
SAC,UTA,84,104
NOP,LAC,105,133
PHI,DET,97,79
BOS,OKC,96,99
GSW,MIN,116,108
NOP,PHX,120,119
NYK,LAL,118,112
CHA,IND,94,110
MIL,TOR,100,122
WAS,MIA,101,112
BKN,HOU,118,122
DEN,DAL,92,112
POR,LAC,120,121
LAL,SAC,92,116
MEM,CLE,86,103
ORL,ATL,131,120
MIN,CHI,99,94
GSW,NOP,113,109
NYK,PHX,111,113
OKC,POR,95,114
TOR,PHI,123,114
CHA,WAS,106,109
LAC,ORL,113,108
IND,MIA,89,95
LAL,BKN,97,107
CLE,MEM,85,93
SAC,HOU,98,132
DET,DAL,95,85
OKC,UTA,89,109
BOS,SAS,101,108
CHI,MIL,97,108
IND,NOP,95,102
POR,DEN,120,132
SAS,PHX,107,92
NYK,GSW,90,103
DET,WAS,108,122
BKN,ORL,111,118
CHA,BOS,88,96
ATL,TOR,125,121
MIL,CHI,95,69
SAC,MEM,96,92
NOP,HOU,100,122
LAL,PHI,100,89
LAC,MIA,102,98
DAL,UTA,100,103
PHX,OKC,101,114
IND,DET,105,90
CHA,ATL,107,99
LAL,CLE,108,119
HOU,MIN,111,109
NYK,DEN,114,127
POR,GSW,90,135
LAC,WAS,110,117
SAC,DAL,79,99
UTA,MEM,82,73
BKN,PHI,107,108
TOR,ORL,109,79
BOS,MIA,105,95
NOP,SAS,100,113
WAS,IND,105,107
DET,CHI,82,113
ATL,OKC,110,108
PHX,MIN,108,115
DAL,DEN,107,117
NOP,PHI,108,93
LAL,CHA,113,117
BKN,TOR,104,116
IND,NYK,111,118
ORL,MIA,136,130
CLE,MIL,114,108
BOS,MEM,112,109
SAS,HOU,102,100
DEN,LAC,102,119
UTA,GSW,74,104
POR,SAC,121,126
MIL,CLE,102,113
MIN,ATL,92,84
MEM,DET,98,86
WAS,CHI,107,97
OKC,NOP,121,110
SAC,UTA,94,93
HOU,PHX,125,111
DAL,POR,96,95
BOS,IND,109,102
GSW,BKN,117,101
ORL,NYK,95,106
LAL,MIA,107,115
SAS,LAC,101,106
CHI,CHA,91,103
LAL,ORL,90,109
BKN,CLE,99,119
OKC,BOS,117,112
GSW,DET,119,113
WAS,MIL,96,123
HOU,MEM,109,115
MIA,NOP,87,91
SAC,MIN,109,105
ATL,DEN,109,108
TOR,UTA,104,98
PHI,PHX,116,123
SAS,POR,110,90
DAL,LAC,90,88
BOS,NYK,119,114
GSW,CLE,108,109
CHI,SAS,100,119
MIN,OKC,100,112
LAC,LAL,102,111
MIL,WAS,102,107
MEM,ORL,102,112
CHA,BKN,118,120
CLE,DET,90,106
IND,CHI,85,90
DAL,NOP,104,111
PHX,HOU,115,131
ATL,MIN,90,104
TOR,POR,95,91
DEN,LAC,106,102
PHI,SAC,100,102
MEM,BOS,103,113
OKC,MIA,106,94
HOU,DAL,123,107
UTA,LAL,102,100
IND,WAS,105,111
CHA,ORL,120,101
NYK,ATL,98,102
MIL,DET,119,94
BKN,CHI,99,101
LAC,NOP,98,102
PHX,SAS,98,119
MIN,DEN,103,105
SAC,POR,89,102
TOR,GSW,111,121
MIA,CHA,82,91
OKC,MEM,80,114
BOS,CLE,118,124
PHI,UTA,83,100
TOR,PHX,91,99
DAL,LAL,101,89
CHI,IND,101,111
BKN,WAS,95,118
MIA,BOS,114,117
NYK,NOP,92,104
LAC,HOU,116,140
